my_util	opp_util1	opp_util2	social	nash	agreement	step
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.7500000000000001	0.7050000000000001	0.295	1.75	0.15598125000000004	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.51	0.77	0.105	1.385	0.0412335	{'Signing bonus': '2%', 'Job assignment': 'Division D', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.433	0.7374999999999999	0.3375	1.508	0.10777640624999998	{'Signing bonus': '4%', 'Job assignment': 'Division E', 'Moving expense coverage': '70%', 'Insurance coverage': '0%', 'Salary': '$36,000'}	73
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.87	0.62	0.5	1.99	0.2697	{'Signing bonus': '6%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.6900000000000001	0.725	0.315	1.73	0.15757875	{'Signing bonus': '2%', 'Job assignment': 'Division D', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.555	0.8325	0.3125	1.7000000000000002	0.14438671875	{'Signing bonus': '2%', 'Job assignment': 'Division D', 'Moving expense coverage': '90%', 'Insurance coverage': '0%', 'Salary': '$34,000'}	70
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.87	0.62	0.5	1.99	0.2697	{'Signing bonus': '6%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.7500000000000001	0.7050000000000001	0.295	1.75	0.15598125000000004	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.7500000000000001	0.7050000000000001	0.295	1.75	0.15598125000000004	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.7500000000000001	0.7050000000000001	0.295	1.75	0.15598125000000004	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.809	0.40249999999999997	0.4275	1.639	0.13920361874999998	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '80%', 'Insurance coverage': '100%', 'Salary': '$36,000'}	79
0.7500000000000001	0.7050000000000001	0.295	1.75	0.15598125000000004	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.7500000000000001	0.7050000000000001	0.295	1.75	0.15598125000000004	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.7500000000000001	0.7050000000000001	0.295	1.75	0.15598125000000004	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.7500000000000001	0.7050000000000001	0.295	1.75	0.15598125000000004	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.7500000000000001	0.7050000000000001	0.295	1.75	0.15598125000000004	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.7500000000000001	0.7050000000000001	0.295	1.75	0.15598125000000004	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.7500000000000001	0.7050000000000001	0.295	1.75	0.15598125000000004	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.6900000000000001	0.725	0.315	1.73	0.15757875	{'Signing bonus': '2%', 'Job assignment': 'Division D', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.87	0.62	0.5	1.99	0.2697	{'Signing bonus': '6%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.51	0.77	0.105	1.385	0.0412335	{'Signing bonus': '2%', 'Job assignment': 'Division D', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.87	0.62	0.5	1.99	0.2697	{'Signing bonus': '6%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.7500000000000001	0.7050000000000001	0.295	1.75	0.15598125000000004	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.87	0.62	0.5	1.99	0.2697	{'Signing bonus': '6%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.7500000000000001	0.7050000000000001	0.295	1.75	0.15598125000000004	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.555	0.8325	0.3125	1.7000000000000002	0.14438671875	{'Signing bonus': '2%', 'Job assignment': 'Division D', 'Moving expense coverage': '90%', 'Insurance coverage': '0%', 'Salary': '$34,000'}	70
0.7500000000000001	0.7050000000000001	0.295	1.75	0.15598125000000004	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.7500000000000001	0.7050000000000001	0.295	1.75	0.15598125000000004	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.6900000000000001	0.725	0.315	1.73	0.15757875	{'Signing bonus': '2%', 'Job assignment': 'Division D', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.63	0.7075	0.1875	1.525	0.08357343750000001	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.6900000000000001	0.725	0.315	1.73	0.15757875	{'Signing bonus': '2%', 'Job assignment': 'Division D', 'Moving expense coverage': '90%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
0.51	0.77	0.105	1.385	0.0412335	{'Signing bonus': '2%', 'Job assignment': 'Division D', 'Moving expense coverage': '60%', 'Insurance coverage': '80%', 'Salary': '$32,000'}	75
